,make,max_price_percentage,min_price_percentage,med_price_percentage,good_price_percentage,max_level,min_level
0,MASERATI,101.0,93.0,97.0,99.0,102.0,93.0
1,MERCEDES BENZ,101.0,93.0,97.0,99.0,102.0,93.0
2,CHRYSLER,101.0,93.0,97.0,99.0,102.0,93.0
3,BMW,101.0,93.0,97.0,99.0,102.0,93.0
4,SUBARU,101.0,93.0,97.0,99.0,102.0,93.0
5,JEEP,101.0,93.0,97.0,99.0,102.0,93.0
6,HUMMER,101.0,93.0,97.0,99.0,102.0,93.0
7,ISUZU,101.0,93.0,97.0,99.0,102.0,93.0
8,RENAULT,101.0,93.0,97.0,99.0,102.0,93.0
9,LAND ROVER,101.0,93.0,97.0,99.0,102.0,93.0
10,MITSUBISHI,101.0,93.0,97.0,99.0,102.0,93.0
11,DFSK/DFM/DFZL,101.0,93.0,97.0,99.0,102.0,93.0
12,SSANGYONG,101.0,93.0,97.0,99.0,102.0,93.0
13,JMC,101.0,93.0,97.0,99.0,102.0,93.0
14,ROVER,101.0,93.0,97.0,99.0,102.0,93.0
15,MAZDA,101.0,93.0,97.0,99.0,102.0,93.0
16,FERRARI,101.0,93.0,97.0,99.0,102.0,93.0
17,DODGE,101.0,93.0,97.0,99.0,102.0,93.0
18,CHANA,101.0,93.0,97.0,99.0,102.0,93.0
19,FOTON,101.0,93.0,97.0,99.0,102.0,93.0
20,LADA,101.0,93.0,97.0,99.0,102.0,93.0
21,FORD,101.0,93.0,97.0,99.0,102.0,93.0
22,CHERY,101.0,93.0,97.0,99.0,102.0,93.0
23,SKODA,101.0,93.0,97.0,99.0,102.0,93.0
24,DAIHATSU,101.0,93.0,97.0,99.0,102.0,93.0
25,JAGUAR,101.0,93.0,97.0,99.0,102.0,93.0
26,VOLVO,101.0,93.0,97.0,99.0,102.0,93.0
27,LIFAN,101.0,93.0,97.0,99.0,102.0,93.0
28,TMD,101.0,93.0,97.0,99.0,102.0,93.0
29,PEUGEOT,101.0,93.0,97.0,99.0,102.0,93.0
30,KIA,101.0,93.0,97.0,99.0,102.0,93.0
31,NISSAN,101.0,93.0,97.0,99.0,102.0,93.0
32,PORSCHE,101.0,93.0,97.0,99.0,102.0,93.0
33,CHANGAN,101.0,93.0,97.0,99.0,102.0,93.0
34,CITROEN,101.0,93.0,97.0,99.0,102.0,93.0
35,MG,101.0,93.0,97.0,99.0,102.0,93.0
36,VOLKSWAGEN,101.0,93.0,97.0,99.0,102.0,93.0
37,SUZUKI,101.0,93.0,97.0,99.0,102.0,93.0
38,TOYOTA,101.0,93.0,97.0,99.0,102.0,93.0
39,DAEWOO,101.0,93.0,97.0,99.0,102.0,93.0
40,JAC,101.0,93.0,97.0,99.0,102.0,93.0
41,MINI,101.0,93.0,97.0,99.0,102.0,93.0
42,HONDA,101.0,93.0,97.0,99.0,102.0,93.0
43,FIAT,101.0,93.0,97.0,99.0,102.0,93.0
44,CHEVROLET,97.0,92.0,93.0,94.0,98.0,92.0
45,HYUNDAI,101.0,93.0,97.0,99.0,102.0,93.0
46,CADILLAC,101.0,93.0,97.0,99.0,102.0,93.0
47,AUDI,101.0,93.0,97.0,99.0,102.0,93.0
